i,23135
order,626
3,773
of,8415
them,3184
and,22386
one,3215
the,29057
item,650
is,11488
bad,278
qualiti,1386
miss,99
backup,34
spring,13
so,4760
have,6160
to,19580
put,626
a,17658
pc,20
aluminum,3
make,942
batteri,10294
work,4634
bulk,161
alway,549
less,480
expens,494
way,655
go,1326
for,17959
product,2450
like,2884
these,4643
well,2463
they,5960
are,4591
not,4565
duracel,751
but,4926
price,5494
am,1057
happi,827
seem,1440
as,7660
name,1268
brand,2306
at,2543
much,1634
better,1442
veri,3813
long,2514
last,3211
great,9465
bought,3185
lot,1313
christma,906
amazonbas,331
cell,97
been,1079
good,5916
haven,361
t,4542
notic,214
differ,625
between,183
amazon,3949
basic,696
just,2818
easier,307
purchas,2570
arriv,218
hous,278
on,5674
hand,436
will,1962
buy,2807
again,884
ive,37
had,2097
ani,1309
problam,1
with,6064
in,5993
past,120
pleas,348
if,1888
you,4741
look,892
cheap,587
non,79
recharg,251
that,5945
quit,275
while,579
then,558
perfect,1136
noth,199
more,2149
say,633
do,1729
hold,542
amount,259
high,299
power,541
juic,32
energ,388
or,2125
half,194
aa,538
aaa,392
done,197
by,586
me,1383
appear,134
shelf,91
life,1003
ll,361
find,499
be,2987
equal,30
superior,21
can,4091
believ,137
didn,453
start,336
sooner,28
packag,656
larg,165
too,915
when,1728
first,756
get,2413
realli,1418
recent,108
mayb,164
mix,12
bag,65
inconsist,4
some,1032
than,2166
other,2052
test,269
feel,319
may,228
longer,464
howev,316
hard,267
beat,525
use,7041
it,20040
my,11207
fish,5
tank,11
s,3761
light,967
night,173
love,6231
how,1001
easili,264
switch,132
off,425
want,1263
guest,4
there,1111
got,1267
em,23
comment,27
job,250
quick,178
deliveri,96
onli,1547
two,679
into,380
keyboard,192
up,1914
year,2329
who,557
after,714
three,194
day,795
we,2367
mani,789
thing,979
need,1849
thank,429
wa,4187
abl,572
even,775
ship,234
condit,48
did,549
exactli,180
what,1527
would,2087
don,1405
know,511
thu,53
opinion,84
anywher,159
near,42
led,121
candl,138
which,897
crazi,72
trail,27
camera,467
were,860
expos,14
cold,21
temp,5
north,7
sheet,4
beed,0
towel,0
size,1079
lack,92
enough,521
consid,108
cheaper,451
gift,1166
month,583
decemb,11
2month,0
toy,499
now,989
replac,821
also,1288
doorbel,0
tv,280
remot,563
control,892
still,767
thi,10484
second,293
door,50
from,1837
xbox,174
none,73
explod,21
review,457
said,213
disappoint,303
all,2704
no,1709
yet,331
although,112
gave,202
4star,1
becaus,975
few,526
full,189
strong,133
pretti,541
weak,39
out,1421
box,530
48,100
definit,508
priceim,1
satisfi,205
ve,919
time,2488
caus,52
recommend,1273
chanc,47
hope,186
remain,19
reason,385
mean,86
under,148
thought,317
fit,304
nice,1294
compani,52
should,305
ok,329
our,932
fault,24
game,2028
sever,366
week,441
conveni,240
compar,502
store,1141
ago,166
about,1229
except,109
hundr,48
let,189
share,59
kid,3017
grand,165
okay,75
far,1247
everi,540
son,1038
wont,45
kno,0
eeek,0
horribl,42
depend,60
wireless,177
microphon,25
found,373
per,109
usag,108
tri,636
subscript,93
prefer,116
avail,351
same,598
1,431
4,757
capac,78
3rd,63
expir,36
2027,2
100,149
10,292
12,101
window,48
2,1061
sinc,545
experi,203
see,483
consist,33
an,2117
averag,65
17,23
almost,247
around,486
charg,1002
6,323
hour,439
run,522
junk,56
simpl,273
digit,71
clock,106
best,1382
made,378
never,521
back,506
cost,469
date,87
1992,1
yeah,14
ined,0
pack,526
usedd,0
faster,247
im,41
lowest,17
devic,1365
8,750
new,976
through,524
could,644
simplic,7
fool,7
worth,478
quantiti,92
tthrough,0
fast,692
least,137
standard,97
kind,126
everyday,122
excel,761
perform,627
earlier,50
expect,702
afford,261
re,559
save,280
money,753
rock,26
amaz,401
walmart,20
updat,222
end,237
report,27
fine,555
issu,554
plan,115
seller,29
jn,0
term,52
tie,18
top,291
spot,33
edg,23
dollar,184
comput,225
valu,1132
divid,5
cheapest,27
took,200
respect,7
third,116
place,164
advantag,34
trust,64
leader,3
imag,42
attach,20
graph,3
tabl,114
summar,1
result,63
7,501
type,114
d,258
dept,1
bit,309
quest,6
sell,97
repeat,11
precis,2
equip,50
environment,6
slot,58
each,280
fulli,98
discharg,33
opu,1
bt,6
c2000,1
analyz,1
rate,133
ma,27
200,26
400,7
affect,5
usabl,18
exact,14
acdelco,22
procel,27
coppertop,27
max,8
maxel,16
rayovac,79
link,79
take,780
comparison,45
purpos,146
disch,5
rt,5
runtim,3
sampl,6
case100,1
997,1
mah,27
hr,26
low,390
flashlight200,1
914,1
5,607
electron,220
medium,16
flashlight400,1
623,1
motor,14
bright,180
flashlightnot,1
alkalin,244
achiev,16
somewhat,18
higher,110
1200,2
applic,106
mous,185
etc,371
intern,45
resist,31
reduc,25
among,14
data,52
0,37
31,3
ea,9
36,26
right,507
decent,293
beatabl,1
suppli,48
spent,64
eclips,1
current,81
option,331
wise,32
blown,10
away,147
energi,41
their,749
runtime100,3
1005,1
hrs200,3
864,1
hrs400,3
670,1
hrsa,1
comper,1
21,12
significantli,25
possibl,61
sit,74
drawer,36
both,335
certainli,40
contract,2
parti,31
think,537
provid,139
troubl,59
note,71
come,759
clearli,15
gigant,3
plastic,125
blister,6
closabl,1
cardboard,85
organ,30
your,939
import,55
push,40
winner,18
categori,11
despit,35
50,105
premium,36
final,121
anoth,418
specif,62
mention,39
scenario,5
short,152
garbag,18
case,856
version,362
websit,32
he,1752
hi,676
most,485
popular,43
sourc,39
